ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,0,933.4705882352941,3.7205882352941178,0,1
1,2,0,945.0612244897959,2.4693877551020407,0,2
1,3,1,512.3295454545455,11.619318181818182,0,3
1,4,1,531.9662921348314,21.60674157303371,0,4
1,5,1,601.7297297297297,120.6554054054054,0,5
1,6,1,629.1450381679389,140.10687022900763,0,6
1,7,1,906.6619047619048,197.1095238095238,0,7
1,8,1,220.67924528301887,197.58490566037736,0,8
1,9,1,717.2938388625593,273.5592417061611,0,9
1,10,1,730.3160621761658,283.45595854922277,0,10
1,11,0,1372.5185185185185,302.64814814814815,0,11
1,12,1,667.8941176470588,308.6588235294118,0,12
1,13,1,1109.8461538461538,311.13247863247864,0,13
1,14,1,920.7885304659499,326.00716845878134,0,14
1,15,1,684.6058823529412,322.18823529411765,0,15
1,16,1,1324.695652173913,326.17391304347825,0,16
1,17,1,1332.0181818181818,330.5272727272727,0,17
1,18,1,935.8382352941177,347.1875,0,18
1,19,1,709.3076923076923,362.84615384615387,0,19
1,20,1,1349.1208053691275,448.70805369127515,0,20
1,21,1,1355.5886524822695,435.92198581560285,0,21
1,22,1,1358.4925373134329,460.4925373134328,0,22
1,23,1,425.70588235294116,465.6078431372549,0,23
1,24,1,775.9411764705883,485.93582887700535,0,24
1,25,1,200.88571428571427,510.2142857142857,0,25
1,26,1,208.0763358778626,527.9160305343512,0,26
1,27,1,1341.4528301886792,536.566037735849,0,27
1,28,1,728.3333333333334,623.1274509803922,0,28
1,29,1,740.10101010101,628.8181818181819,0,29
1,30,1,475.2906976744186,642.2558139534884,0,30
1,31,1,652.7053571428571,754.0357142857143,0,31
1,32,1,664.4901960784314,761.5294117647059,0,32
1,33,1,1140.5869565217392,785.75,0,33
1,34,1,1187.5061728395062,805.7283950617284,0,34
1,35,1,1150.6510067114093,814.6778523489933,0,35
1,36,1,633.4532019704434,826.1231527093596,0,36
1,37,1,406.2,835.5769230769231,0,37
1,38,1,791.5250836120401,847.4046822742475,0,38
1,39,1,695.0,839.4047619047619,0,39
1,40,1,1226.6458333333333,841.5208333333334,0,40
1,41,1,464.3955223880597,849.2164179104477,0,41
1,42,1,259.4266666666667,860.1333333333333,0,42
1,43,1,449.76119402985074,864.0074626865671,0,43
1,44,1,778.2071428571429,881.2821428571428,0,44
1,45,1,153.48863636363637,900.1477272727273,0,45
1,46,1,144.83018867924528,913.433962264151,0,46
1,47,1,122.8780487804878,920.9512195121952,0,47
1,48,1,129.4047619047619,924.6428571428571,0,48
1,49,1,856.0,948.6428571428571,0,49
1,50,1,1288.4186046511627,993.4651162790698,0,50
1,51,1,929.9516129032259,1038.032258064516,0,51
1,52,1,148.7536945812808,1082.5911330049262,0,52
1,53,0,141.3739837398374,1094.4552845528456,0,53
1,54,1,1290.1538461538462,1088.8307692307692,0,54
2,1,0,527.1559139784946,8.919354838709678,0,1
2,2,0,537.8604651162791,0.8604651162790697,0,2
2,3,0,954.0425531914893,1.7234042553191489,0,3
2,4,1,544.281914893617,15.25531914893617,0,4
2,5,1,616.9840255591055,116.17891373801918,0,5
2,6,1,640.7472924187725,134.8664259927798,0,6
2,7,1,920.3362831858407,192.2787610619469,0,7
2,8,1,1246.8333333333333,237.55,0,8
2,9,1,731.7739130434783,271.1434782608696,0,9
2,10,1,743.5305164319249,277.6713615023474,0,10
2,11,1,681.3390804597701,303.8045977011494,0,11
2,12,1,1123.4888888888888,306.46222222222224,0,12
2,13,1,586.1555555555556,311.3777777777778,0,13
2,14,1,936.4831804281346,322.5045871559633,0,14
2,15,1,698.1686046511628,317.3488372093023,0,15
2,16,1,1338.4146341463415,321.5365853658537,0,16
2,17,1,1345.7142857142858,325.61224489795916,0,17
2,18,1,947.557003257329,341.00651465798046,0,18
2,19,1,722.4262295081967,357.9344262295082,0,19
2,20,1,1369.0701754385964,430.2456140350877,0,20
2,21,1,1363.0387811634348,448.70360110803324,0,21
2,22,0,1372.24,457.18,0,22
2,23,1,789.6180904522613,481.09045226130655,0,23
2,24,1,214.4179104477612,505.1641791044776,0,24
2,25,1,222.044776119403,523.5149253731344,0,25
2,26,1,1354.9375,531.7142857142857,0,26
2,27,1,741.6831683168317,618.2475247524752,0,27
2,28,1,753.639175257732,623.9587628865979,0,28
2,29,1,488.92397660818716,637.3157894736842,0,29
2,30,1,666.0254237288135,748.957627118644,0,30
2,31,1,678.5533980582525,756.8932038834952,0,31
2,32,1,1154.0919540229886,781.1609195402299,0,32
2,33,1,1201.578125,800.984375,0,33
2,34,1,1163.079510703364,809.6788990825688,0,34
2,35,1,647.3504672897196,821.7009345794393,0,35
2,36,1,419.82089552238807,830.5522388059702,0,36
2,37,1,805.1442006269592,844.4043887147335,0,37
2,38,1,708.7317073170732,834.3414634146342,0,38
2,39,1,1240.0444444444445,836.5555555555555,0,39
2,40,1,476.86861313868616,844.3649635036496,0,40
2,41,1,274.25384615384615,859.3384615384615,0,41
2,42,1,791.9287925696594,873.547987616099,0,42
2,43,1,463.74789915966386,859.6470588235294,0,43
2,44,1,172.70666666666668,891.4266666666666,0,44
2,45,1,156.66,909.0,0,45
2,46,1,144.8846153846154,910.5384615384615,0,46
2,47,1,1228.2439024390244,987.390243902439,0,47
2,48,1,1302.3,989.075,0,48
2,49,1,943.36,1032.82,0,49
2,50,1,162.58163265306123,1078.9438775510205,0,50
2,51,1,155.22916666666666,1088.0555555555557,0,51
2,52,1,1302.2857142857142,1084.5119047619048,0,52
